Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE
People,Sex and Age,45 to 54 years,95961,(+/- 2721 ),125931,(+/- 4196 ),90459,(+/- 2643 ),113189,(+/- 3871 ),103737,(+/- 1660 ),109769,(+/- 3337 ),101212,(+/- 3024 ),97599,(+/- 2924 ),114657,(+/- 3593 ),108705,(+/- 2500 ),103229,(+/- 3103 ),111519,(+/- 2527 ),109829,(+/- 3445 )
People,Sex and Age,55 to 59 years,47899,(+/- 2805 ),52560,(+/- 3255 ),49949,(+/- 2845 ),52157,(+/- 3417 ),52279,(+/- 2704 ),56532,(+/- 2738 ),55856,(+/- 2843 ),49726,(+/- 2848 ),53526,(+/- 2693 ),53069,(+/- 3234 ),52501,(+/- 3254 ),44323,(+/- 3053 ),53775,(+/- 2682 )
People,Sex and Age,60 to 64 years,49945,(+/- 2659 ),43189,(+/- 2833 ),47174,(+/- 2896 ),43628,(+/- 3002 ),50206,(+/- 2684 ),49641,(+/- 3092 ),55210,(+/- 2841 ),42851,(+/- 2951 ),47511,(+/- 3251 ),52628,(+/- 3120 ),56695,(+/- 3138 ),39887,(+/- 2623 ),44525,(+/- 2368 )
People,Sex and Age,65 to 74 years,70266,(+/- 2383 ),65379,(+/- 2591 ),73714,(+/- 1858 ),54417,(+/- 2685 ),75666,(+/- 1009 ),76404,(+/- 1798 ),92922,(+/- 1648 ),69210,(+/- 1568 ),65453,(+/- 2269 ),81126,(+/- 2015 ),97844,(+/- 2030 ),51508,(+/- 1805 ),70957,(+/- 2081 )
People,Sex and Age,75 to 84 years,34523,(+/- 2062 ),27861,(+/- 2452 ),37592,(+/- 1765 ),23946,(+/- 1907 ),41217,(+/- 1578 ),38096,(+/- 1985 ),40540,(+/- 2173 ),32643,(+/- 1928 ),30442,(+/- 1960 ),38487,(+/- 2131 ),51015,(+/- 2390 ),22872,(+/- 1451 ),37911,(+/- 1871 )
People,Sex and Age,85 years and over,13766,(+/- 1335 ),11776,(+/- 1596 ),11205,(+/- 1332 ),11047,(+/- 1700 ),13007,(+/- 1545 ),15137,(+/- 1828 ),13350,(+/- 1781 ),12420,(+/- 1720 ),11250,(+/- 1665 ),15218,(+/- 1794 ),16755,(+/- 1623 ),7267,(+/- 1152 ),14382,(+/- 1617 )
People,Sex and Age,Median age (years),38.0,(+/- 0.6 ),37.8,(+/- 0.6 ),37.2,(+/- 0.7 ),34.9,(+/- 0.4 ),40.5,(+/- 0.3 ),41.1,(+/- 0.6 ),42.1,(+/- 0.4 ),36.3,(+/- 0.4 ),39.0,(+/- 0.5 ),41.8,(+/- 0.5 ),45.3,(+/- 0.3 ),33.6,(+/- 0.3 ),39.5,(+/- 0.5 )
People,Sex and Age,18 years and over,589787,(+/- 6120 ),602961,(+/- 8709 ),585985,(+/- 4367 ),660012,(+/- 7974 ),590327,(+/- 2230 ),591275,(+/- 5844 ),619415,(+/- 4555 ),587241,(+/- 4049 ),578827,(+/- 6903 ),598922,(+/- 4462 ),604762,(+/- 4539 ),644258,(+/- 5409 ),596122,(+/- 6594 )
People,Sex and Age,65 years and over,118555,(+/- 2952 ),105016,(+/- 3153 ),122511,(+/- 2344 ),89410,(+/- 3214 ),129890,(+/- 1143 ),129637,(+/- 2395 ),146812,(+/- 2056 ),114273,(+/- 1558 ),107145,(+/- 2629 ),134831,(+/- 2889 ),165614,(+/- 2682 ),81647,(+/- 2190 ),123250,(+/- 2659 )
People,Race,Total population,750278,(+/- 7994 ),819899,(+/- 12097 ),754350,(+/- 5447 ),847032,(+/- 10935 ),751232,(+/- 2406 ),763491,(+/- 7452 ),780442,(+/- 6271 ),774967,(+/- 5185 ),778477,(+/- 9115 ),759453,(+/- 5680 ),749597,(+/- 5180 ),849357,(+/- 7685 ),768213,(+/- 8397 )
People,Race,One race,730784,(+/- 7986 ),794280,(+/- 12045 ),720413,(+/- 7760 ),820192,(+/- 11733 ),736255,(+/- 3921 ),743795,(+/- 7862 ),761140,(+/- 6824 ),747090,(+/- 6109 ),759003,(+/- 9550 ),745451,(+/- 6019 ),738562,(+/- 5836 ),828239,(+/- 8021 ),752718,(+/- 8702 )
People,Race,White,351832,(+/- 6592 ),584858,(+/- 10906 ),548218,(+/- 5562 ),524537,(+/- 9323 ),593578,(+/- 3719 ),545204,(+/- 7378 ),585311,(+/- 7054 ),509184,(+/- 6027 ),510668,(+/- 7803 ),614796,(+/- 5407 ),678534,(+/- 5549 ),404846,(+/- 8701 ),537499,(+/- 6605 )
People,Race,Black or African American,337080,(+/- 4879 ),164858,(+/- 6931 ),148353,(+/- 6317 ),185919,(+/- 7628 ),110330,(+/- 2646 ),153787,(+/- 6861 ),148252,(+/- 3810 ),181626,(+/- 4271 ),151442,(+/- 6444 ),88811,(+/- 3249 ),25988,(+/- 2779 ),318876,(+/- 5650 ),166890,(+/- 7140 )
People,Race,American Indian and Alaska Native,7678,(+/- 1547 ),5057,(+/- 1657 ),2859,(+/- 731 ),3446,(+/- 914 ),2182,(+/- 744 ),3015,(+/- 1027 ),6998,(+/- 1128 ),9285,(+/- 1488 ),60259,(+/- 1957 ),3846,(+/- 1489 ),11804,(+/- 1744 ),2650,(+/- 954 ),1764,(+/- 674 )
People,Race,Asian,14892,(+/- 1978 ),11273,(+/- 2323 ),9927,(+/- 1439 ),75059,(+/- 3519 ),12338,(+/- 2284 ),11622,(+/- 2591 ),5443,(+/- 1252 ),16964,(+/- 1651 ),19704,(+/- 2292 ),13418,(+/- 2055 ),8393,(+/- 1474 ),48780,(+/- 2208 ),27615,(+/- 2478 )
People,Race,Native Hawaiian and Other Pacific Islander,436,(+/- 357 ),283,(+/- 330 ),530,(+/- 296 ),87,(+/- 145 ),415,(+/- 392 ),881,(+/- 600 ),329,(+/- 289 ),1173,(+/- 617 ),321,(+/- 376 ),392,(+/- 444 ),400,(+/- 371 ),786,(+/- 301 ),48,(+/- 83 )
People,Race,Some other race,18866,(+/- 4326 ),27951,(+/- 5132 ),10526,(+/- 3179 ),31144,(+/- 7757 ),17412,(+/- 2845 ),29286,(+/- 4265 ),14807,(+/- 3865 ),28858,(+/- 3491 ),16609,(+/- 3705 ),24188,(+/- 3918 ),13443,(+/- 2839 ),52301,(+/- 6703 ),18902,(+/- 3960 )
People,Race,Two or more races,19494,(+/- 3328 ),25619,(+/- 3532 ),33937,(+/- 5237 ),26840,(+/- 4246 ),14977,(+/- 3062 ),19696,(+/- 3721 ),19302,(+/- 3130 ),27877,(+/- 3877 ),19474,(+/- 3056 ),14002,(+/- 2944 ),11035,(+/- 2376 ),21118,(+/- 3229 ),15495,(+/- 2419 )
People,Hispanic or Latino and Race,Total population,750278,(+/- 7994 ),819899,(+/- 12097 ),754350,(+/- 5447 ),847032,(+/- 10935 ),751232,(+/- 2406 ),763491,(+/- 7452 ),780442,(+/- 6271 ),774967,(+/- 5185 ),778477,(+/- 9115 ),759453,(+/- 5680 ),749597,(+/- 5180 ),849357,(+/- 7685 ),768213,(+/- 8397 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),65885,(+/- 3258 ),78269,(+/- 7534 ),59800,(+/- 2365 ),86426,(+/- 6418 ),71285,(+/- 1016 ),75945,(+/- 3736 ),73104,(+/- 3259 ),76701,(+/- 2535 ),59456,(+/- 3602 ),51064,(+/- 2500 ),44197,(+/- 2488 ),127209,(+/- 2623 ),61769,(+/- 3887 )
People,Hispanic or Latino and Race,Mexican,38402,(+/- 5117 ),45399,(+/- 6561 ),34806,(+/- 3794 ),42211,(+/- 7047 ),45952,(+/- 4750 ),55030,(+/- 4510 ),41314,(+/- 6386 ),39935,(+/- 4353 ),34514,(+/- 3694 ),31185,(+/- 4163 ),29467,(+/- 3381 ),55887,(+/- 6769 ),41159,(+/- 4911 )
People,Hispanic or Latino and Race,Puerto Rican,4037,(+/- 1570 ),12322,(+/- 3390 ),10873,(+/- 3041 ),8250,(+/- 2364 ),4829,(+/- 1825 ),5880,(+/- 1992 ),9029,(+/- 3078 ),13704,(+/- 2988 ),7086,(+/- 1886 ),4828,(+/- 1533 ),3713,(+/- 1518 ),7749,(+/- 2263 ),3615,(+/- 1273 )
People,Hispanic or Latino and Race,Cuban,1247,(+/- 765 ),3865,(+/- 2016 ),1133,(+/- 827 ),2355,(+/- 1298 ),2212,(+/- 887 ),882,(+/- 587 ),1385,(+/- 901 ),2928,(+/- 1444 ),2446,(+/- 1336 ),1744,(+/- 889 ),1469,(+/- 745 ),5524,(+/- 2518 ),1549,(+/- 783 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,22199,(+/- 3706 ),16683,(+/- 3812 ),12988,(+/- 3354 ),33610,(+/- 4335 ),18292,(+/- 4045 ),14153,(+/- 3206 ),21376,(+/- 4785 ),20134,(+/- 3619 ),15410,(+/- 3227 ),13307,(+/- 3445 ),9548,(+/- 2819 ),58049,(+/- 6905 ),15446,(+/- 3804 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,684393,(+/- 7673 ),741630,(+/- 9834 ),694550,(+/- 4884 ),760606,(+/- 8919 ),679947,(+/- 2428 ),687546,(+/- 8243 ),707338,(+/- 5394 ),698266,(+/- 5258 ),719021,(+/- 9239 ),708389,(+/- 5591 ),705400,(+/- 4855 ),722148,(+/- 7667 ),706444,(+/- 9536 )
People,Place of Birth,Total population,750278,(+/- 7994 ),819899,(+/- 12097 ),754350,(+/- 5447 ),847032,(+/- 10935 ),751232,(+/- 2406 ),763491,(+/- 7452 ),780442,(+/- 6271 ),774967,(+/- 5185 ),778477,(+/- 9115 ),759453,(+/- 5680 ),749597,(+/- 5180 ),849357,(+/- 7685 ),768213,(+/- 8397 )
People,Place of Birth,Native,695908,(+/- 8219 ),760887,(+/- 12142 ),724563,(+/- 6310 ),716366,(+/- 9345 ),704375,(+/- 2929 ),709118,(+/- 8864 ),736168,(+/- 7153 ),727157,(+/- 5937 ),722578,(+/- 9237 ),723482,(+/- 5966 ),718948,(+/- 5079 ),711301,(+/- 9722 ),706299,(+/- 9576 )
People,Place of Birth,Born in United States,689637,(+/- 8340 ),749776,(+/- 11930 ),713969,(+/- 6485 ),704201,(+/- 9556 ),698058,(+/- 2933 ),703319,(+/- 8812 ),728205,(+/- 7307 ),710450,(+/- 5954 ),712898,(+/- 9144 ),717502,(+/- 5834 ),713557,(+/- 5277 ),700584,(+/- 9793 ),700462,(+/- 9549 )
People,Place of Birth,State of residence,492252,(+/- 9410 ),439651,(+/- 11702 ),401993,(+/- 9360 ),369889,(+/- 9896 ),485099,(+/- 7773 ),490729,(+/- 10078 ),463499,(+/- 10814 ),426050,(+/- 9478 ),448886,(+/- 8536 ),485674,(+/- 8770 ),445398,(+/- 9478 ),348044,(+/- 10808 ),470982,(+/- 10670 )
People,Place of Birth,Different state,197385,(+/- 8838 ),310125,(+/- 10401 ),311976,(+/- 9629 ),334312,(+/- 8838 ),212959,(+/- 7418 ),212590,(+/- 7414 ),264706,(+/- 8818 ),284400,(+/- 9366 ),264012,(+/- 10020 ),231828,(+/- 8647 ),268159,(+/- 9139 ),352540,(+/- 10237 ),229480,(+/- 8331 )
People,Place of Birth,Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s),6271,(+/- 1779 ),11111,(+/- 2083 ),10594,(+/- 1978 ),12165,(+/- 2298 ),6317,(+/- 1367 ),5799,(+/- 1247 ),7963,(+/- 2086 ),16707,(+/- 2476 ),9680,(+/- 1830 ),5980,(+/- 1126 ),5391,(+/- 1222 ),10717,(+/- 2072 ),5837,(+/- 1372 )
People,Place of Birth,Foreign born,54370,(+/- 3791 ),59012,(+/- 6484 ),29787,(+/- 3544 ),130666,(+/- 6519 ),46857,(+/- 3171 ),54373,(+/- 4152 ),44274,(+/- 4258 ),47810,(+/- 3003 ),55899,(+/- 4256 ),35971,(+/- 3699 ),30649,(+/- 2493 ),138056,(+/- 6758 ),61914,(+/- 4558 )
People,Ancestry,Total population,750278,(+/- 7994 ),819899,(+/- 12097 ),754350,(+/- 5447 ),847032,(+/- 10935 ),751232,(+/- 2406 ),763491,(+/- 7452 ),780442,(+/- 6271 ),774967,(+/- 5185 ),778477,(+/- 9115 ),759453,(+/- 5680 ),749597,(+/- 5180 ),849357,(+/- 7685 ),768213,(+/- 8397 )
People,Ancestry,American,72253,(+/- 5571 ),89444,(+/- 7200 ),80810,(+/- 6106 ),88294,(+/- 8385 ),120903,(+/- 6932 ),66405,(+/- 5481 ),77262,(+/- 6881 ),67620,(+/- 5799 ),84116,(+/- 6732 ),128022,(+/- 7969 ),139109,(+/- 8919 ),48653,(+/- 4777 ),67042,(+/- 5485 )
People,Ancestry,Arab,2553,(+/- 1164 ),4777,(+/- 1986 ),2110,(+/- 1596 ),6286,(+/- 2301 ),2414,(+/- 2011 ),2255,(+/- 1171 ),1977,(+/- 763 ),2049,(+/- 1025 ),2715,(+/- 1147 ),1098,(+/- 571 ),423,(+/- 319 ),7095,(+/- 3201 ),4665,(+/- 2469 )
People,Ancestry,Czech,641,(+/- 379 ),2012,(+/- 1100 ),1267,(+/- 652 ),1578,(+/- 676 ),1000,(+/- 531 ),849,(+/- 570 ),1616,(+/- 714 ),1283,(+/- 1040 ),1233,(+/- 572 ),594,(+/- 405 ),655,(+/- 311 ),1072,(+/- 409 ),771,(+/- 347 )
People,Ancestry,Danish,919,(+/- 574 ),1222,(+/- 570 ),1353,(+/- 1191 ),1777,(+/- 744 ),688,(+/- 441 ),940,(+/- 536 ),1355,(+/- 541 ),1186,(+/- 721 ),1694,(+/- 865 ),1424,(+/- 1081 ),859,(+/- 534 ),1009,(+/- 547 ),1344,(+/- 986 )
People,Ancestry,Dutch,3492,(+/- 1082 ),7436,(+/- 2071 ),8661,(+/- 2098 ),7962,(+/- 1520 ),8931,(+/- 2398 ),6021,(+/- 1502 ),5981,(+/- 1348 ),7077,(+/- 2126 ),7242,(+/- 1595 ),6752,(+/- 1630 ),9889,(+/- 1883 ),5960,(+/- 1296 ),9083,(+/- 1628 )
People,Ancestry,English,45124,(+/- 4025 ),88906,(+/- 7478 ),99386,(+/- 6726 ),76192,(+/- 4907 ),74440,(+/- 5183 ),66842,(+/- 5110 ),75681,(+/- 5586 ),61824,(+/- 5031 ),70368,(+/- 5117 ),76646,(+/- 4728 ),86172,(+/- 6472 ),50300,(+/- 4041 ),68481,(+/- 5781 )
People,Ancestry,French (except Basque),6831,(+/- 1435 ),15885,(+/- 3328 ),13148,(+/- 2316 ),14051,(+/- 2707 ),10145,(+/- 1638 ),10566,(+/- 2563 ),15051,(+/- 2609 ),12041,(+/- 2497 ),11091,(+/- 1695 ),11033,(+/- 1935 ),14306,(+/- 2219 ),10924,(+/- 1883 ),11587,(+/- 1949 )
People,Ancestry,French Canadian,2191,(+/- 854 ),2990,(+/- 973 ),3463,(+/- 1228 ),5024,(+/- 1385 ),1405,(+/- 535 ),2464,(+/- 850 ),2990,(+/- 1085 ),3318,(+/- 1159 ),3069,(+/- 1218 ),1980,(+/- 718 ),3991,(+/- 958 ),2569,(+/- 893 ),2331,(+/- 782 )
People,Ancestry,German,36032,(+/- 3975 ),88849,(+/- 7012 ),82142,(+/- 6409 ),87096,(+/- 6203 ),77958,(+/- 4815 ),65513,(+/- 6273 ),70342,(+/- 5253 ),92629,(+/- 6114 ),79026,(+/- 6412 ),87697,(+/- 4748 ),85569,(+/- 5982 ),68843,(+/- 5228 ),84295,(+/- 6607 )
People,Ancestry,Greek,847,(+/- 413 ),2317,(+/- 931 ),2108,(+/- 907 ),1564,(+/- 535 ),3036,(+/- 1243 ),766,(+/- 472 ),2317,(+/- 1149 ),2855,(+/- 1468 ),4531,(+/- 1302 ),1038,(+/- 519 ),1871,(+/- 784 ),2812,(+/- 1180 ),1457,(+/- 708 )
People,Ancestry,Hungarian,1775,(+/- 804 ),3431,(+/- 1520 ),1812,(+/- 707 ),3287,(+/- 1219 ),722,(+/- 354 ),1962,(+/- 920 ),3257,(+/- 1789 ),1697,(+/- 879 ),1639,(+/- 667 ),1053,(+/- 601 ),1302,(+/- 517 ),2751,(+/- 912 ),1016,(+/- 613 )
People,Ancestry,Irish,37465,(+/- 3733 ),74038,(+/- 6162 ),80555,(+/- 7034 ),69246,(+/- 5274 ),58437,(+/- 5468 ),55354,(+/- 5438 ),72652,(+/- 6650 ),64651,(+/- 6943 ),60365,(+/- 5468 ),64895,(+/- 5818 ),75344,(+/- 5369 ),53682,(+/- 4512 ),56670,(+/- 4248 )
People,Ancestry,Italian,13147,(+/- 2329 ),36758,(+/- 4294 ),30528,(+/- 4001 ),40594,(+/- 4638 ),20150,(+/- 3053 ),20783,(+/- 3221 ),26800,(+/- 4094 ),26262,(+/- 3238 ),30182,(+/- 3976 ),19325,(+/- 3216 ),21968,(+/- 3635 ),27690,(+/- 3892 ),20582,(+/- 2801 )
People,Ancestry,Lithuanian,406,(+/- 429 ),2297,(+/- 1287 ),319,(+/- 257 ),1736,(+/- 630 ),663,(+/- 506 ),687,(+/- 443 ),1244,(+/- 1068 ),992,(+/- 678 ),376,(+/- 285 ),677,(+/- 365 ),457,(+/- 233 ),1564,(+/- 830 ),456,(+/- 311 )
People,Ancestry,Norwegian,1911,(+/- 713 ),2522,(+/- 1054 ),3419,(+/- 942 ),7295,(+/- 1875 ),2686,(+/- 1411 ),1997,(+/- 662 ),4195,(+/- 2165 ),4058,(+/- 1364 ),3416,(+/- 1265 ),1786,(+/- 655 ),4619,(+/- 1139 ),4341,(+/- 1515 ),2442,(+/- 925 )
People,Ancestry,Polish,5537,(+/- 1106 ),13827,(+/- 2318 ),11256,(+/- 2331 ),17539,(+/- 2757 ),7592,(+/- 1365 ),7957,(+/- 1582 ),10009,(+/- 1911 ),9791,(+/- 2031 ),15219,(+/- 2404 ),8117,(+/- 1814 ),9716,(+/- 2522 ),16140,(+/- 2750 ),7171,(+/- 1427 )
People,Ancestry,Portuguese,1817,(+/- 1164 ),827,(+/- 463 ),1047,(+/- 569 ),1235,(+/- 629 ),292,(+/- 257 ),859,(+/- 669 ),640,(+/- 409 ),1346,(+/- 748 ),1039,(+/- 784 ),317,(+/- 226 ),818,(+/- 416 ),1322,(+/- 601 ),2544,(+/- 2148 )
People,Ancestry,Russian,2198,(+/- 870 ),5792,(+/- 1949 ),2008,(+/- 728 ),9661,(+/- 2387 ),2192,(+/- 1139 ),3148,(+/- 1028 ),1662,(+/- 781 ),1415,(+/- 917 ),4594,(+/- 1589 ),3080,(+/- 835 ),4334,(+/- 1665 ),4190,(+/- 1502 ),3303,(+/- 1578 )
People,Ancestry,Scotch-Irish,10751,(+/- 2445 ),19010,(+/- 3697 ),12822,(+/- 1954 ),18645,(+/- 2874 ),24214,(+/- 2915 ),18321,(+/- 2653 ),22841,(+/- 3610 ),19791,(+/- 2775 ),24770,(+/- 3411 ),25431,(+/- 3398 ),32772,(+/- 4079 ),14160,(+/- 2162 ),20586,(+/- 3038 )
People,Ancestry,Scottish,9720,(+/- 1872 ),21326,(+/- 3705 ),17448,(+/- 2834 ),23112,(+/- 3071 ),20870,(+/- 2835 ),16222,(+/- 2419 ),18165,(+/- 2853 ),20309,(+/- 3069 ),20750,(+/- 2314 ),22075,(+/- 3177 ),22386,(+/- 2682 ),13208,(+/- 2012 ),19351,(+/- 2741 )
People,Ancestry,Slovak,39,(+/- 68 ),1371,(+/- 858 ),509,(+/- 404 ),1510,(+/- 712 ),1148,(+/- 742 ),105,(+/- 80 ),428,(+/- 248 ),677,(+/- 372 ),1313,(+/- 1141 ),814,(+/- 472 ),583,(+/- 366 ),763,(+/- 366 ),479,(+/- 402 )
People,Ancestry,Subsaharan African,11473,(+/- 3828 ),7758,(+/- 2663 ),7997,(+/- 2296 ),15414,(+/- 4492 ),3081,(+/- 1263 ),3005,(+/- 1451 ),3604,(+/- 1663 ),23699,(+/- 4010 ),7598,(+/- 2985 ),2147,(+/- 805 ),482,(+/- 397 ),43624,(+/- 7606 ),7552,(+/- 3027 )
People,Ancestry,Swedish,2259,(+/- 771 ),6780,(+/- 2081 ),4627,(+/- 1395 ),9518,(+/- 2397 ),3389,(+/- 1489 ),3275,(+/- 1060 ),5704,(+/- 1849 ),3506,(+/- 1084 ),3588,(+/- 1436 ),2709,(+/- 886 ),5552,(+/- 1590 ),3626,(+/- 1178 ),3556,(+/- 1107 )
People,Ancestry,Swiss,399,(+/- 396 ),1084,(+/- 587 ),1545,(+/- 743 ),1417,(+/- 977 ),1494,(+/- 693 ),663,(+/- 421 ),1349,(+/- 644 ),757,(+/- 447 ),1050,(+/- 565 ),1866,(+/- 1144 ),1271,(+/- 569 ),1610,(+/- 681 ),778,(+/- 371 )
People,Ancestry,Ukrainian,464,(+/- 292 ),1279,(+/- 567 ),891,(+/- 444 ),2532,(+/- 930 ),776,(+/- 436 ),1097,(+/- 662 ),1285,(+/- 649 ),541,(+/- 363 ),1682,(+/- 856 ),1184,(+/- 558 ),1668,(+/- 1189 ),1981,(+/- 847 ),1050,(+/- 457 )
People,Ancestry,Welsh,2749,(+/- 1021 ),6540,(+/- 2065 ),4510,(+/- 1440 ),9457,(+/- 2385 ),2995,(+/- 823 ),5505,(+/- 1578 ),2865,(+/- 1042 ),3485,(+/- 1108 ),5191,(+/- 1800 ),3971,(+/- 1116 ),4826,(+/- 1273 ),3219,(+/- 912 ),4368,(+/- 1285 )
People,Ancestry,West Indian (excluding Hispanic origin groups),3344,(+/- 1308 ),3873,(+/- 2491 ),2386,(+/- 1256 ),3479,(+/- 1398 ),1033,(+/- 873 ),1779,(+/- 884 ),2890,(+/- 1560 ),5281,(+/- 1635 ),3582,(+/- 1218 ),359,(+/- 280 ),256,(+/- 177 ),8318,(+/- 2323 ),1891,(+/- 843 )
People,Veteran Status,Civilian population 18 years and over,589145,(+/- 6053 ),597649,(+/- 8865 ),550086,(+/- 5026 ),659527,(+/- 7941 ),589549,(+/- 2225 ),590479,(+/- 5815 ),616004,(+/- 4805 ),561311,(+/- 4514 ),576766,(+/- 7157 ),598809,(+/- 4462 ),604408,(+/- 4558 ),643678,(+/- 5540 ),595621,(+/- 6589 )
People,Veteran Status,Civilian veterans,38662,(+/- 3189 ),56875,(+/- 4027 ),70789,(+/- 3664 ),39450,(+/- 2870 ),41425,(+/- 2483 ),46903,(+/- 2638 ),63154,(+/- 3376 ),77465,(+/- 3698 ),43791,(+/- 2878 ),52044,(+/- 2569 ),54669,(+/- 3266 ),37869,(+/- 2870 ),43329,(+/- 3167 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,733223,(+/- 8073 ),808840,(+/- 12360 ),708144,(+/- 6275 ),838722,(+/- 10963 ),741402,(+/- 2864 ),755352,(+/- 7472 ),767330,(+/- 6554 ),740606,(+/- 5759 ),766924,(+/- 9436 ),751178,(+/- 5999 ),740655,(+/- 5738 ),844763,(+/- 7658 ),760691,(+/- 8375 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,115918,(+/- 5487 ),93569,(+/- 4998 ),126104,(+/- 7055 ),74652,(+/- 4705 ),98964,(+/- 5322 ),107008,(+/- 5178 ),132570,(+/- 5992 ),107898,(+/- 5441 ),97880,(+/- 4960 ),111994,(+/- 5525 ),132503,(+/- 5737 ),67377,(+/- 4263 ),105149,(+/- 4788 )
